# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	50309
#@/user_id	d1e9347d-3da2-40c9-ae30-f3f46160b0bf
a 	啊	c=268 d=4.75122 t=50309
bu ying 	不贏	c=2 d=0.562705 t=50309
bu ying gai 	不應該	c=5 d=2.35338e-10 t=50309
bu yong 	不用	c=48 d=2.93225e-08 t=50309
bu yun xu 	不允許	c=6 d=1.20736e-11 t=50309
bu zai 	不再	c=2 d=1.69242e-39 t=50309
bu zai 	不在	c=7 d=1.65878e-08 t=50309
bu zhao 	不找	c=4 d=0.0113334 t=50309
bu zhao ji 	不着急	c=1 d=6.44256e-05 t=50309
bu zhi 	佈置	c=1 d=1.05432e-34 t=50309
bu zhi chi 	不支持	c=4 d=2.16301e-47 t=50309
bu zhi dao 	不知道	c=78 d=0.786827 t=50309
bu zhi shi 	不只是	c=1 d=3.15326e-11 t=50309
bu zhi yu 	不至於	c=9 d=0.10383 t=50309
bu zhong yao 	不重要	c=3 d=7.79776e-22 t=50309
bu zhou 	步驟	c=5 d=5.29568e-16 t=50309
bu zhou quan 	步周全	c=1 d=1.45936e-94 t=50309
bu zhu 	不住	c=5 d=2.03012e-07 t=50309
bu zhu 	補助	c=2 d=2.94759e-41 t=50309
bu zou 	不走	c=6 d=3.30975e-22 t=50309
bu zu 	不足	c=15 d=2.08187e-09 t=50309
bu zuo 	不做	c=2 d=2.11147e-28 t=50309
cai 	才	c=33 d=0.0133747 t=50309
cai 	採	c=1 d=3.31313e-34 t=50309
cai 	猜	c=9 d=2.16727e-11 t=50309
cai 	菜	c=15 d=3.25959e-06 t=50309
cai 	蔡	c=4 d=6.74815e-06 t=50309
cai dan 	菜單	c=1 d=1.07836e-64 t=50309
cai dao 	纔到	c=1 d=3.86453e-51 t=50309
cai dian 	踩點	c=3 d=0.0415857 t=50309
cai dui 	纔對	c=4 d=2.59329e-05 t=50309
cai fa xian 	才發現	c=2 d=5.92947e-58 t=50309
cai fang 	採訪	c=3 d=1.58954e-24 t=50309
cai gou 	採購	c=11 d=9.66232e-38 t=50309
cai guai 	纔怪	c=1 d=1.53502e-71 t=50309
cai hao 	纔好	c=1 d=2.17429e-20 t=50309
cai hui 	纔會	c=2 d=1.24947e-32 t=50309
cai jiang 	纔將	c=1 d=2.55269e-84 t=50309
cai jiao 	才叫	c=1 d=4.02511e-30 t=50309
cai kan 	纔看	c=1 d=2.24975e-39 t=50309
cai neng 	才能	c=22 d=0.0125918 t=50309
cai niao 	菜鳥	c=3 d=1.37638e-23 t=50309
cai pin 	菜品	c=20 d=0.00538036 t=50309
cai qu 	採取	c=1 d=3.405e-91 t=50309
cai shi 	纔是	c=14 d=0.00437466 t=50309
cai shui 	才睡	c=1 d=4.95271e-58 t=50309
cai suan 	纔算	c=4 d=9.06687e-25 t=50309
cai xiang 	纔像	c=1 d=1.56848e-60 t=50309
cai xing 	才行	c=2 d=1.54061e-55 t=50309
cai xu kun 	蔡徐坤	c=2 d=7.84023e-06 t=50309
cai yong 	採用	c=5 d=2.02895e-59 t=50309
cai you 	纔有	c=4 d=6.2756e-49 t=50309
can 	參	c=3 d=1.70972e-45 t=50309
can 	慘	c=6 d=5.6931e-50 t=50309
can 	殘	c=1 d=2.91668e-64 t=50309
can 	餐	c=1 d=1.32053e-65 t=50309
can jia 	參加	c=10 d=3.87168e-27 t=50309
can ju 	餐具	c=2 d=1.38544e-12 t=50309
can kao 	參考	c=11 d=1.45925e-05 t=50309
can pan 	餐盤	c=1 d=2.70657e-08 t=50309
can shu 	參數	c=125 d=1.27116 t=50309
can ting 	餐廳	c=7 d=3.52368e-44 t=50309
can yin 	餐飲	c=3 d=2.20677e-18 t=50309
can yu 	參與	c=3 d=1.12564e-31 t=50309
cang 	倉	c=1 d=8.63468e-68 t=50309
cang ku 	倉庫	c=117 d=5.27444e-05 t=50309
cao 	草	c=102 d=1.22618 t=50309
cao gao 	草稿	c=2 d=8.79575e-44 t=50309
cao ni ma 	操你媽	c=1 d=2.9279e-21 t=50309
cao shu 	草書	c=1 d=0.109154 t=50309
cao ta ma 	草他媽	c=1 d=3.09967e-74 t=50309
cao zuo 	操作	c=81 d=0.0958472 t=50309
ce 	側	c=1 d=1.69247e-14 t=50309
ce 	測	c=32 d=7.17846e-09 t=50309
ce ce 	測測	c=1 d=9.71406e-42 t=50309
ce chi 	側遲	c=1 d=1.02031e-60 t=50309
ce chu lai 	測出來	c=1 d=2.72042e-68 t=50309
ce fan 	策反	c=1 d=1.68403e-14 t=50309
ce hao 	測好	c=2 d=1.78659e-33 t=50309
ce shi 	測試	c=11 d=1.26667e-103 t=50309
ce su 	測速	c=1 d=4.33081e-97 t=50309
ce suo 	廁所	c=9 d=1.43409e-05 t=50309
ce ya 	測壓	c=3 d=4.19315e-104 t=50309
ceng 	層	c=67 d=0.0426461 t=50309
ceng 	蹭	c=3 d=9.76306e-13 t=50309
ceng ci 	層次	c=1 d=6.68888e-64 t=50309
ceng fan 	蹭飯	c=1 d=3.09546e-58 t=50309
ceng ji 	層級	c=1 d=2.37453e-27 t=50309
ceng mian 	層面	c=2 d=4.50938e-43 t=50309
cha 	叉	c=1 d=1.54649e-41 t=50309
cha 	差	c=16 d=1.11783e-05 t=50309
cha 	查	c=30 d=1.14885e-16 t=50309
cha bei 	茶杯	c=0 d=4.06613e-62 t=50309
cha bei tou 	茶杯頭	c=1 d=4.08651e-61 t=50309
cha bu dao 	查不到	c=1 d=7.88907e-35 t=50309
cha bu duo 	差不多	c=14 d=0.646617 t=50309
cha cha 	查查	c=2 d=7.52864e-73 t=50309
cha dao 	查到	c=1 d=6.42681e-35 t=50309
cha dian 	差點	c=2 d=3.17982e-37 t=50309
cha fen 	差分	c=2 d=1.85214 t=49638
cha hu 	茶壺	c=0 d=2.16271e-17 t=50309
cha jian 	插件	c=21 d=4.27714e-61 t=50309
cha ju 	差距	c=1 d=2.38189e-34 t=50309
cha kan 	查看	c=33 d=0.0925506 t=50309
cha ru 	插入	c=14 d=0.453108 t=50309
cha xun 	查詢	c=51 d=0.480184 t=50309
cha yi 	差異	c=33 d=3.48325e-05 t=50309
cha yi hua 	差異化	c=3 d=1.33725e-66 t=50309
cha yi xing 	差異性	c=1 d=4.8838e-99 t=50309
cha zhao 	查找	c=5 d=4.92453e-14 t=50309
chai 	拆	c=1 d=0.000564257 t=50309
chai 	柴	c=1 d=5.05293e-29 t=50309
chai fen 	拆分	c=3 d=6.78304e-52 t=50309
chan 	產	c=2 d=1.90619e-60 t=50309
chan 	禪	c=1 d=3.2687e-81 t=50309
chan chu 	產出	c=1 d=3.92815e-96 t=50309
chan pin 	產品	c=2 d=1.06361e-49 t=50309
chang 	唱	c=1 d=9.39303e-29 t=50309
chang 	長	c=3 d=1.62528e-09 t=50309
chang chang 	嘗嘗	c=1 d=2.06319e-50 t=50309
chang du 	長度	c=2 d=7.71027e-30 t=50309
chang ge 	唱歌	c=3 d=0.0230521 t=50309
chang gui 	常規	c=1 d=1.19328e-20 t=50309
chang jian 	常見	c=8 d=7.49812e-79 t=50309
chang jing 	場景	c=46 d=1.77232e-57 t=50309
chang jiu 	長久	c=1 d=8.39521e-90 t=50309
chang lian jie 	長連接	c=1 d=1.63343e-08 t=50309
chang liang 	常量	c=4 d=6.13893e-38 t=50309
chang qi 	長期	c=2 d=3.52831e-39 t=50309
chang shang 	廠商	c=1 d=2.59505e-13 t=50309
chang shi 	嘗試	c=2 d=1.20069e-34 t=50309
chang yong 	常用	c=6 d=9.33029e-09 t=50309
chang zi 	場子	c=1 d=8.06241e-26 t=50309
chao 	吵	c=3 d=1.26706e-20 t=50309
chao 	抄	c=1 d=1.08057e-88 t=50309
chao 	超	c=16 d=7.9906e-09 t=50309
chao cai 	炒菜	c=1 d=7.51582e-53 t=50309
chao chao 	超超	c=3 d=9.42406e-09 t=50309
chao chu 	超出	c=3 d=4.5341e-66 t=50309
chao da 	超大	c=1 d=1.97012e-07 t=50309
chao fan 	炒飯	c=5 d=2.71219e-08 t=50309
chao ge 	超哥	c=5 d=0.0229371 t=50309
chao guo 	超過	c=9 d=1.53063e-08 t=50309
chao ji 	超級	c=1 d=0.00532682 t=50309
chao jia 	吵架	c=2 d=9.22929e-28 t=50309
chao ke ai 	超可愛	c=1 d=2.0615e-11 t=50309
chao shi 	超市	c=4 d=9.95351e-05 t=50309
chao shi 	超時	c=2 d=0.000100034 t=50309
chao zuo 	炒作	c=1 d=3.57908e-60 t=50309
che 	車	c=9 d=0.158025 t=50309
che hui 	撤回	c=2 d=2.03047e-09 t=50309
che men 	車門	c=1 d=0.154124 t=50309
che xiao 	撤銷	c=1 d=3.30841e-76 t=50309
chen 	陳	c=2 d=3.64144e-57 t=50309
chen he 	嗔喝	c=1 d=2.07212e-42 t=50309
chen wen 	沉穩	c=1 d=7.4208e-21 t=50309
cheng 	乘	c=2 d=2.8404e-17 t=50309
cheng 	呈	c=1 d=4.85464e-58 t=50309
cheng 	城	c=2 d=1.06177e-58 t=50309
cheng 	成	c=50 d=0.00404611 t=50309
cheng 	稱	c=2 d=0.124388 t=50309
cheng ben 	成本	c=51 d=0.431907 t=50309
cheng ben jia 	成本價	c=1 d=3.23143e-05 t=50309
cheng du 	成都	c=19 d=0.00844378 t=50309
cheng du 	程度	c=4 d=5.42946e-51 t=50309
cheng gong 	成功	c=32 d=0.50222 t=50309
cheng guo 	成果	c=1 d=4.51845e-96 t=50309
cheng hu 	稱呼	c=1 d=3.69637e-57 t=50309
cheng ji 	成績	c=2 d=3.95676e-40 t=50309
cheng jiu 	成就	c=1 d=1 t=49672
cheng li 	成立	c=1 d=2.948e-72 t=50309
cheng ren 	承認	c=1 d=1.28569e-74 t=50309
cheng shi 	城市	c=2 d=0.000845993 t=50309
cheng shu 	成熟	c=6 d=1.00344e-11 t=50309
cheng wei 	成爲	c=9 d=2.64415e-87 t=50309
cheng xu 	程序	c=9 d=1.03099e-27 t=50309
cheng xu yuan 	程序員	c=4 d=1.32192e-48 t=50309
cheng xun 	成勛	c=1 d=5.19337e-28 t=50309
cheng yuan 	成員	c=2 d=5.08258e-39 t=50309
cheng zhang 	成長	c=6 d=7.5694e-28 t=50309
cheng zhen 	城鎮	c=2 d=4.44163e-12 t=50309
chi 	喫	c=53 d=0.137096 t=50309
chi 	池	c=8 d=1.92174e-38 t=50309
chi bang 	翅膀	c=2 d=3.16463e-16 t=50309
chi bao 	喫飽	c=2 d=0.0112206 t=50309
chi bu wan 	喫不完	c=1 d=0.000665481 t=50309
chi dao 	喫到	c=2 d=3.51359e-78 t=50309
chi dao 	遲到	c=2 d=3.5312e-78 t=50309
chi de 	喫得	c=2 d=0.0012684 t=50309
chi dian 	喫點	c=1 d=2.19757e-57 t=50309
chi duo 	喫多	c=1 d=7.65567e-64 t=50309
chi fan 	喫飯	c=23 d=2.49814e-14 t=50309
chi ge fan 	吃個飯	c=1 d=1.69525e-92 t=50309
chi guo 	喫過	c=1 d=0.0584257 t=50309
chi han 	癡漢	c=1 d=6.32016e-44 t=50309
chi jiu wan shi 	喫就完事	c=1 d=9.56455e-36 t=50309
chi kui 	喫虧	c=1 d=1.51871e-63 t=50309
chi le 	喫了	c=1 d=4.38533e-09 t=50309
chi li 	喫力	c=1 d=2.56147e-95 t=50309
chi rou 	喫肉	c=1 d=8.61587e-13 t=50309
chi sha 	喫啥	c=3 d=1.98715e-20 t=50309
chi shi 	喫屎	c=1 d=4.99722e-75 t=50309
chi wan 	喫完	c=3 d=0.00257007 t=50309
chi wan fan 	喫完飯	c=4 d=9.40903e-49 t=50309
chi wan le 	喫完了	c=1 d=4.96062e-18 t=50309
chi wo 	喫我	c=1 d=3.13189e-78 t=50309
chi xu 	持續	c=1 d=2.20356e-89 t=50309
chi zhu 	喫住	c=1 d=7.98355e-28 t=50309
chong 	充	c=1 d=2.95271e-32 t=50309
chong 	蟲	c=1 d=2.96751e-32 t=50309
chong 	衝	c=18 d=0.00313508 t=50309
chong 	重	c=5 d=1.23154e-09 t=50309
chong chong 	沖沖	c=5 d=1.64951e-35 t=50309
chong chong chong 	衝衝衝	c=3 d=6.17715e-68 t=50309
chong ding xiang 	重定向	c=1 d=4.12758e-61 t=50309
chong fu 	重複	c=23 d=4.12485e-08 t=50309
chong gan 	重犴	c=1 d=2.88177e-40 t=50309
chong gou 	重構	c=67 d=4.64023e-12 t=50309
chong he 	重合	c=1 d=2.69811e-30 t=50309
chong jin 	衝進	c=1 d=2.84912e-53 t=50309
chong lei 	蟲類	c=1 d=8.84272e-54 t=50309
chong ming 	重名	c=1 d=4.94597e-42 t=50309
chong qi 	重啓	c=4 d=4.6014e-16 t=50309
chong ru 	衝入	c=1 d=2.64272e-80 t=50309
chong shi 	重試	c=2 d=3.2286e-104 t=50309
chong tu 	衝突	c=2 d=1.34021e-92 t=50309
chong xian 	重現	c=2 d=1.0057e-08 t=50309
chong xie 	重寫	c=9 d=1.70564e-41 t=50309
chong xin 	重新	c=23 d=2.76929e-14 t=50309
chong ya 	衝壓	c=1 d=6.68113e-21 t=50309
chong zhi 	重置	c=1 d=2.63401e-100 t=50309
chong zhuang 	衝撞	c=1 d=2.58554e-58 t=50309
chong zu 	充足	c=13 d=6.9209e-59 t=50309
chong zuo 	重做	c=1 d=6.82052e-58 t=50309
chou 	丑	c=4 d=7.3153e-29 t=50309
chou 	仇	c=1 d=4.9121e-20 t=50309
chou 	抽	c=17 d=9.73006e-52 t=50309
chou 	臭	c=1 d=0.000208619 t=50309
chou chou 	瞅瞅	c=3 d=2.28082e-11 t=50309
chou de 	抽的	c=0 d=7.24251e-30 t=50309
chou de yi pi 	抽的一批	c=1 d=7.27881e-29 t=50309
chou feng 	抽風	c=1 d=1.4367e-57 t=50309
chou ren 	仇人	c=1 d=1.12669e-21 t=50309
chou si 	醜死	c=1 d=3.86231e-103 t=50309
chou xiang 	抽象	c=6 d=6.65154e-68 t=50309
chu 	出	c=87 d=0.0780817 t=50309
chu 	杵	c=1 d=3.13423e-28 t=50309
chu 	處	c=6 d=0.00362464 t=50309
chu 	除	c=3 d=6.11421e-66 t=50309
chu bu 	初步	c=1 d=6.12815e-34 t=50309
chu can 	出參	c=8 d=0.142683 t=50309
chu chu 	處處	c=1 d=3.59189e-102 t=50309
chu cun 	儲存	c=2 d=5.18983e-20 t=50309
chu cuo 	出錯	c=7 d=1.79989e-32 t=50309
chu dao 	出道	c=2 d=1.71464e-49 t=50309
chu fa 	出發	c=1 d=1.15636e-62 t=50309
chu fa 	觸發	c=4 d=3.1803e-15 t=50309
chu fei 	除非	c=4 d=7.00674e-22 t=50309
chu ji 	出擊	c=2 d=4.88578e-45 t=50309
chu ji 	初級	c=2 d=7.33423e-30 t=50309
chu ku 	出庫	c=70 d=3.62651e-09 t=50309
chu lai 	出來	c=57 d=1.09746 t=50309
chu le 	除了	c=4 d=1.34702e-34 t=50309
chu li 	處理	c=42 d=7.27557e-05 t=50309
chu li chang 	處理廠	c=0 d=6.84399e-70 t=50309
chu li chang ke hou se 	處理廠課後色	c=1 d=6.87831e-69 t=50309
chu li qi 	處理器	c=1 d=9.75579e-63 t=50309
chu lian 	初戀	c=1 d=0.00835412 t=50309
chu lu 	出路	c=1 d=1.12585e-71 t=50309
chu ma 	出馬	c=1 d=2.50878e-27 t=50309
chu men 	出門	c=5 d=2.10243e-07 t=50309
chu qu 	出去	c=3 d=0.00069264 t=50309
chu shi 	初始	c=2 d=1.36053e-84 t=50309
chu shi hua 	初始化	c=4 d=0.000170591 t=50309
chu tan 	初探	c=1 d=2.9046e-74 t=50309
chu tou 	出頭	c=1 d=1.28687e-26 t=50309
chu wen 	初吻	c=1 d=2.2952e-39 t=50309
chu xi 	出息	c=1 d=1.51329e-21 t=50309
chu xian 	出現	c=41 d=1.25206e-07 t=50309
chu xing 	處刑	c=2 d=5.53349e-39 t=50309
chu yin 	初音	c=1 d=6.02748e-45 t=50309
chu zhan 	出戰	c=1 d=6.46913e-24 t=50309
chu zhe guai zhang 	出這柺杖	c=1 d=3.1186e-28 t=50309
chu zhong 	初中	c=1 d=9.05706e-71 t=50309
chuan 	串	c=3 d=6.49271e-08 t=50309
chuan 	傳	c=44 d=7.27731e-24 t=50309
chuan 	川	c=1 d=2.46867e-69 t=50309
chuan 	穿	c=8 d=0.000300519 t=50309
chuan chu 	傳出	c=1 d=1.49589e-32 t=50309
chuan di 	傳遞	c=3 d=2.765e-24 t=50309
chuan gei wo 	傳給我	c=1 d=1.00738e-57 t=50309
chuan jian 	船艦	c=1 d=5.43611e-36 t=50309
chuan jiang 	串講	c=2 d=9.12897e-84 t=50309
chuan le 	穿了	c=1 d=7.66398e-18 t=50309
chuan qi lai 	穿起來	c=1 d=2.86544e-32 t=50309
chuan qing 	傳情	c=1 d=8.76425e-08 t=50309
chuan ru 	傳入	c=30 d=2.4689e-25 t=50309
chuan shu 	傳輸	c=1 d=1.49487e-24 t=50309
chuan shuo 	傳說	c=5 d=2.21362e-25 t=50309
chuang 	創	c=1 d=7.77848e-16 t=50309
chuang 	牀	c=1 d=4.07526e-58 t=50309
chuang 	窗	c=1 d=6.65325e-60 t=50309
chuang hu 	窗戶	c=1 d=4.59749e-06 t=50309
chuang jian 	創建	c=64 d=0.762905 t=50309
chuang kou 	窗口	c=1 d=9.22058e-105 t=50309
chuang lian 	窗簾	c=1 d=3.03901e-18 t=50309
chuang ye 	創業	c=1 d=1.85616e-100 t=50309
chuang yi chuang 	闖一闖	c=1 d=1.62988e-100 t=50309
chui 	吹	c=3 d=1.98992e-07 t=50309
chui zi 	錘子	c=13 d=0.00465413 t=50309
chun 	春	c=5 d=1.07638e-13 t=50309
chun 	純	c=2 d=1.30516e-96 t=50309
chun 	蠢	c=1 d=6.12587e-59 t=50309
chun yang 	純陽	c=1 d=9.13066e-78 t=50309
chuo 	戳	c=4 d=6.10278e-44 t=50309
ci 	次	c=14 d=1.45259 t=50309
ci 	此	c=44 d=1.44534 t=50309
ci 	詞	c=7 d=2.43339e-21 t=50309
ci ci 	此次	c=5 d=5.92563e-21 t=50309
ci fang fa 	此方法	c=1 d=4.76743e-80 t=50309
ci hua 	此話	c=2 d=1.92836e-49 t=50309
ci ji 	刺激	c=1 d=4.60939e-07 t=50309
ci lei 	此類	c=1 d=2.238e-95 t=50309
ci pan 	磁盤	c=5 d=1.37684e-07 t=50309
ci shi 	此時	c=4 d=1.07314e-14 t=50309
ci shu 	次數	c=3 d=2.68237e-20 t=50309
ci xuan fu 	磁懸浮	c=2 d=5.36156e-13 t=50309
ci zhi 	辭職	c=3 d=0.0023461 t=50309
ci zhuan 	瓷磚	c=1 d=2.41665e-28 t=50309
cong 	從	c=18 d=0.159614 t=50309
cong lai 	從來	c=2 d=2.8907e-47 t=50309
cong ming 	聰明	c=1 d=0.00160441 t=50309
cong xiao 	從小	c=1 d=1.41922e-60 t=50309
cou he 	湊合	c=3 d=2.06214e-44 t=50309
cu cang 	蹴蹌	c=1 d=2.09075e-59 t=50309
cu cao 	粗糙	c=1 d=2.10122e-59 t=50309
cu si 	猝死	c=1 d=2.64694e-40 t=50309
cui 	催	c=7 d=5.32778e-05 t=50309
cui 	崔	c=1 d=1.60103e-37 t=50309
cun 	存	c=1 d=6.44762e-74 t=50309
cun 	村	c=2 d=1.01785e-61 t=50309
cun huo 	存貨	c=1 d=8.1826e-53 t=50309
cun liang 	存量	c=2 d=5.4175e-63 t=50309
cun ru 	存入	c=1 d=6.74209e-69 t=50309
cun zai 	存在	c=30 d=9.46475e-05 t=50309
cun zhe 	存摺	c=1 d=8.30881e-86 t=50309
cuo bie zi 	錯別字	c=1 d=2.55642e-13 t=50309
cuo guo 	錯過	c=3 d=1.59695e-07 t=50309
cuo le 	錯了	c=4 d=8.84452e-27 t=50309
cuo wu 	錯誤	c=57 d=7.88228e-11 t=50309
cuo wu ma 	錯誤碼	c=1 d=2.1452e-38 t=50309
da 	噠	c=1 d=4.55857e-53 t=50309
da 	大	c=43 d=1.32377 t=50309
da 	打	c=65 d=1.20142 t=50309
da 	搭	c=1 d=3.43289e-40 t=50309
da 	答	c=2 d=2.85513e-19 t=50309
da 	達	c=10 d=0.0097525 t=50309
da an 	答案	c=14 d=2.14454e-05 t=50309
da bao 	打包	c=1 d=5.85511e-86 t=50309
da bian 	答辯	c=33 d=6.52631e-69 t=50309
da biao lv 	達標率	c=1 d=1.62623e-103 t=50309
da bu da 	大不大	c=1 d=6.16584e-106 t=50309
da bu fen 	大部分	c=2 d=2.10451e-48 t=50309
da bu kai 	打不開	c=3 d=5.28623e-60 t=50309
da bu liao 	大不了	c=1 d=3.22683e-47 t=50309
da cai 	大財	c=1 d=2.15412e-28 t=50309
da chang 	大廠	c=3 d=2.02695e-18 t=50309
da che 	打車	c=2 d=3.23639e-23 t=50309
da che 	搭車	c=5 d=8.66138e-60 t=50309
da chuang 	大牀	c=1 d=1 t=50082
da cuo 	打錯	c=2 d=0.0262523 t=50309
da cuo zi 	打錯字	c=1 d=6.71919e-29 t=50309
da da 	大大	c=1 d=0.0160414 t=50309
da da da 	大大打	c=1 d=1 t=49944
da dao 	達到	c=6 d=6.00885e-38 t=50309
da di pu 	打地鋪	c=1 d=8.60334e-84 t=50309
da dian hua 	打電話	c=1 d=6.65595e-06 t=50309
da duo 	大多	c=1 d=5.57336e-94 t=50309
da duo shu 	大多數	c=2 d=2.77311e-29 t=50309
da er 	大二	c=1 d=5.818e-70 t=50309
da fang 	大方	c=1 d=2.88011e-92 t=50309
da gai 	大概	c=7 d=1.22139e-34 t=50309
da ge 	大哥	c=1 d=0.000161662 t=50309
da gong 	打工	c=1 d=1 t=50151
da hao 	答好	c=1 d=2.37478e-87 t=50309
da jia 	大家	c=10 d=2.92646e-13 t=50309
da jian 	搭建	c=6 d=0.0645703 t=50309
da jie tou 	大姐頭	c=1 d=1 t=50071
da jing xiao guai 	大驚小怪	c=1 d=1.24046e-35 t=50309
da ka 	打卡	c=3 d=4.74011e-06 t=50309
da kai 	打開	c=13 d=4.57456e-06 t=50309
da lao 	大佬	c=6 d=1.34901e-28 t=50309
da lao ye men 	大佬爺們	c=1 d=1.20609e-28 t=50309
da lei 	打雷	c=1 d=9.91198e-44 t=50309
da liang 	大量	c=1 d=2.83202e-41 t=50309
da mi 	大米	c=2 d=8.29004e-58 t=50309
da mie da mie 	打咩打咩	c=2 d=1.80731e-14 t=50309
da ming 	大明	c=4 d=1.13763e-17 t=50309
da nao 	大腦	c=3 d=2.9031e-82 t=50309
da pao 	大炮	c=1 d=1.01667e-18 t=50309
da pin 	打拼	c=1 d=2.28516e-105 t=50309
da ping mu 	大屏幕	c=1 d=7.64525e-48 t=50309
da rao 	打擾	c=2 d=3.07102e-53 t=50309
da rao le 	打擾了	c=1 d=3.41868e-50 t=50309
da ren 	大人	c=2 d=8.81418e-16 t=50309
da ren 	達人	c=1 d=1 t=49674
da san 	大三	c=8 d=4.68942e-33 t=50309
da sheng 	大聲	c=1 d=1 t=50216
da shi 	大師	c=1 d=8.56475e-90 t=50309
da shi le 	達溼了	c=1 d=1.81519e-14 t=50309
da shu ju 	大數據	c=1 d=1 t=49224
da shuai 	大帥	c=2 d=1.54245e-69 t=50309
da shui 	大水	c=1 d=1.78775e-70 t=50309
da si 	大四	c=2 d=2.02031e-63 t=50309
da si 	打死	c=1 d=9.0743e-64 t=50309
da suan 	打算	c=6 d=1.01598e-10 t=50309
da tai yang 	大太陽	c=1 d=5.21568e-49 t=50309
da tang 	大唐	c=2 d=3.1551e-69 t=50309
da tui 	大腿	c=1 d=5.94381e-57 t=50309
da wan 	打完	c=2 d=3.81054e-53 t=50309
da wen ti 	大問題	c=1 d=6.44893e-46 t=50309
da xiang 	大象	c=4 d=3.18105e-26 t=50309
da xiao 	大小	c=10 d=2.75329e-09 t=50309
da xiao jie 	大小姐	c=4 d=0.113608 t=50309
da xie 	大寫	c=1 d=1.4308e-38 t=50309
da xue 	大學	c=7 d=8.00012e-23 t=50309
da ye 	大爺	c=2 d=1.77158e-22 t=50309
da yi 	大一	c=2 d=7.52222e-63 t=50309
da yin 	打印	c=24 d=9.22615e-24 t=50309
da ying 	答應	c=1 d=7.41046e-34 t=50309
da ying wo 	答應我	c=1 d=1.33707e-35 t=50309
da you xi 	打遊戲	c=4 d=0.0162796 t=50309
da yu 	大於	c=10 d=1.55263e-14 t=50309
da zhan 	大戰	c=1 d=1.77762e-62 t=50309
da zhao hu 	打招呼	c=1 d=0.000167421 t=50309
da zhen 	打針	c=1 d=2.16566e-32 t=50309
da zhi 	大致	c=2 d=2.32145e-71 t=50309
da zhong 	大衆	c=1 d=3.47105e-23 t=50309
dai 	代	c=1 d=1.39013e-81 t=50309
dai 	呆	c=2 d=2.74415e-06 t=50309
dai 	帶	c=15 d=0.668545 t=50309
dai 	待	c=3 d=7.96913e-06 t=50309
dai 	戴	c=4 d=0.0148464 t=50309
dai ban 	待辦	c=1 d=4.81371e-76 t=50309
dai biao 	代表	c=3 d=9.53336e-27 t=50309
dai chu 	帶出	c=1 d=1.61817e-74 t=50309
dai dao 	逮到	c=1 d=1.17403e-64 t=50309
dai ding 	待定	c=3 d=2.82853e-77 t=50309
dai gong 	怠工	c=1 d=1.18136e-49 t=50309
dai guo 	帶過	c=1 d=9.1164e-89 t=50309
dai hui 	待會	c=1 d=5.61675e-97 t=50309
dai ji 	待機	c=1 d=3.07511e-98 t=50309
dai jin 	帶勁	c=1 d=2.43961e-51 t=50309
dai kuan 	貸款	c=1 d=5.52014e-40 t=50309
dai lai 	帶來	c=2 d=4.77525e-11 t=50309
dai le 	帶了	c=1 d=2.23161e-32 t=50309
dai li 	代理	c=30 d=1.32012e-32 t=50309
dai ma 	代碼	c=269 d=0.0464212 t=50309
dai na 	黛娜	c=1 d=4.46194e-95 t=50309
dai ni 	帶你	c=1 d=3.50415e-17 t=50309
dai ru 	帶入	c=1 d=3.73733e-69 t=50309
dai san 	帶傘	c=3 d=1.73863e-07 t=50309
dai wo 	帶我	c=1 d=2.03566e-39 t=50309
dai xin 	帶薪	c=1 d=2.87237e-31 t=50309
dai xu 	待續	c=1 d=1.21123e-78 t=50309
dai you 	帶有	c=4 d=1.07741e-83 t=50309
dai yu 	待遇	c=3 d=4.12266e-47 t=50309
dai yuan 	待援	c=1 d=6.29165e-79 t=50309
dai zai 	呆在	c=1 d=1.2135e-100 t=50309
dai zhe 	帶着	c=1 d=3.4548e-56 t=50309
dai zhu 	逮住	c=1 d=7.01606e-67 t=50309
dan 	但	c=36 d=1.04766 t=50309
dan 	單	c=204 d=0.0125254 t=50309
dan 	蛋	c=2 d=5.35626e-09 t=50309
dan ce 	單側	c=2 d=1.58364e-103 t=50309
dan ce 	單測	c=18 d=9.43526e-14 t=50309
dan che 	單車	c=0 d=3.80699e-52 t=50309
dan chun 	單純	c=2 d=2.50537e-11 t=50309
dan ci 	單詞	c=5 d=1.69796e-15 t=50309
dan dai 	擔待	c=1 d=1.22032e-19 t=50309
dan dian 	單點	c=4 d=1.73249e-83 t=50309
dan du 	單獨	c=9 d=0.000699601 t=50309
dan ge 	單個	c=6 d=0.000167353 t=50309
dan hao 	單號	c=8 d=5.01832e-07 t=50309
dan huang 	蛋黃	c=1 d=4.17119e-67 t=50309
dan ji 	單擊	c=1 d=2.29622e-103 t=50309
dan jia 	單價	c=4 d=1.21813e-86 t=50309
dan ju 	單據	c=105 d=1.13275e-06 t=50309
dan li 	單利	c=1 d=2.37437e-85 t=50309
dan mu 	彈幕	c=2 d=1.20089e-36 t=50309
dan ni 	但你	c=2 d=5.70802e-22 t=50309
dan shen 	單身	c=2 d=2.02275e-23 t=50309
dan shi 	但是	c=48 d=0.274323 t=50309
dan wei 	單位	c=4 d=7.67444e-85 t=50309
